Date,.SPX,SMA_200,bear_market,year_month,GPN.N,CINF.OQ,K.N,LEN.N,JBHT.OQ,DG.N,VMC.N,FRT.N,PODD.OQ,FANG.OQ,WY.N,AWK.N,GDDY.N,PCG.N,VRSK.OQ,TJX.N,PSX.N,REG.OQ,HOLX.OQ,BKR.OQ,NRG.N,MKTX.OQ,BDX.N,HUBB.N,TMUS.OQ,ABT.N,IRM.N,CAT.N,ESS.N,PFE.N,ODFL.OQ,COIN.OQ,DOC.N,AOS.N,AJG.N,VLTO.N,HLT.N,AVB.N,AEE.N,ARE.N,DPZ.OQ,PCAR.OQ,HAS.OQ,TDY.N,TRV.N,CB.N,POOL.OQ,HD.N,ORLY.OQ,COST.OQ,GPN.N,CINF.OQ,K.N,LEN.N,JBHT.OQ,DG.N,VMC.N,FRT.N,PODD.OQ,FANG.OQ,WY.N,AWK.N,GDDY.N,PCG.N,VRSK.OQ,TJX.N,PSX.N,REG.OQ,HOLX.OQ,BKR.OQ,NRG.N,MKTX.OQ,BDX.N,HUBB.N,TMUS.OQ,ABT.N,IRM.N,CAT.N,ESS.N,PFE.N,ODFL.OQ,COIN.OQ,DOC.N,AOS.N,AJG.N,VLTO.N,HLT.N,AVB.N,AEE.N,ARE.N,DPZ.OQ,PCAR.OQ,HAS.OQ,TDY.N,TRV.N,CB.N,POOL.OQ,HD.N,ORLY.OQ,COST.OQ,GPN.N,CINF.OQ,K.N,LEN.N,JBHT.OQ,DG.N,VMC.N,FRT.N,PODD.OQ,FANG.OQ,WY.N,AWK.N,GDDY.N,PCG.N,VRSK.OQ,TJX.N,PSX.N,REG.OQ,HOLX.OQ,BKR.OQ,NRG.N,MKTX.OQ,BDX.N,HUBB.N,TMUS.OQ,ABT.N,IRM.N,CAT.N,ESS.N,PFE.N,ODFL.OQ,COIN.OQ,DOC.N,AOS.N,AJG.N,VLTO.N,HLT.N,AVB.N,AEE.N,ARE.N,DPZ.OQ,PCAR.OQ,HAS.OQ,TDY.N,TRV.N,CB.N,POOL.OQ,HD.N,ORLY.OQ,COST.OQ,,,GPN.N,CINF.OQ,K.N,LEN.N,JBHT.OQ,DG.N,VMC.N,FRT.N,PODD.OQ,FANG.OQ,WY.N,AWK.N,GDDY.N,PCG.N,VRSK.OQ,TJX.N,PSX.N,REG.OQ,HOLX.OQ,BKR.OQ,NRG.N,MKTX.OQ,BDX.N,HUBB.N,TMUS.OQ,ABT.N,IRM.N,CAT.N,ESS.N,PFE.N,ODFL.OQ,COIN.OQ,DOC.N,AOS.N,AJG.N,VLTO.N,HLT.N,AVB.N,AEE.N,ARE.N,DPZ.OQ,PCAR.OQ,HAS.OQ,TDY.N,TRV.N,CB.N,POOL.OQ,HD.N,ORLY.OQ,COST.OQ
30/06/16,2098.86,2022.6129,FALSE,2016-06,71.38,74.38988458,76.6146445,43.82547266,80.93,94,120.36,165.55,30.24,88.01196564,27.4760582,84.51,31.19,63.92,81.08,38.615,79.34,83.73,34.6,31.43764826,14.99,145.4,165.3400746,105.47,43.27,39.31,39.83,75.81,228.09,33.37728429,20.10334339,297.64,32.2087137,44.055,47.6,84.56,47.63055397,180.39,53.58,103.52,131.38,31.384421,83.99,99.05,119.04,130.71,94.03,127.69,18.0734237,143.8164132,0.019179662,0.017583665,0.037889952,0.007194281,0.033924777,0.021949375,0.029122115,0.006123738,0.031250022,0.017164401,0.031522716,0.007967547,0.026525274,0.018641482,0.009230784,0.003685845,0.037822231,0.029352115,0.000164044,0.016197759,0.037193752,0.027729549,0.026329024,0.020037887,0.015534083,0.005172583,0.024225055,0.030821988,0.012097875,0.010965684,0.022621047,0.012273398,0.015074943,0.012294905,0.008523267,0.00230218,0.012614555,0.02332613,0.034841047,0.020913058,0.012209316,0.035693544,0.032174817,0.012457043,0.035629066,0.01751727,0.024526186,0.035374651,0.012002483,0.005031829," 19,179.66 "," 17,583.67 "," 37,889.95 "," 7,194.28 "," 33,924.78 "," 21,949.38 "," 29,122.12 "," 6,123.74 "," 31,250.02 "," 17,164.40 "," 31,522.72 "," 7,967.55 "," 26,525.27 "," 18,641.48 "," 9,230.78 "," 3,685.85 "," 37,822.23 "," 29,352.12 ", 164.04 ," 16,197.76 "," 37,193.75 "," 27,729.55 "," 26,329.02 "," 20,037.89 "," 15,534.08 "," 5,172.58 "," 24,225.05 "," 30,821.99 "," 12,097.87 "," 10,965.68 "," 22,621.05 "," 12,273.40 "," 15,074.94 "," 12,294.91 "," 8,523.27 "," 2,302.18 "," 12,614.56 "," 23,326.13 "," 34,841.05 "," 20,913.06 "," 12,209.32 "," 35,693.54 "," 32,174.82 "," 12,457.04 "," 35,629.07 "," 17,517.27 "," 24,526.19 "," 35,374.65 "," 12,002.48 "," 5,031.83 ", FALSE ," 1,000,000.00 ",268.70,236.37,494.55,164.16,419.19,233.50,241.96,36.99,1033.40,195.02,1147.28,94.28,850.44,291.64,113.85,95.45,476.71,350.56,4.74,515.23,2481.24,190.71,159.24,189.99,359.00,131.58,608.21,406.57,53.04,328.54,1125.24,41.24,468.04,279.08,179.06,27.23,264.84,129.31,650.26,202.02,92.93,1137.30,383.08,125.77,299.30,134.02,260.83,277.04,664.10,34.99
29/07/16,2173.6,2041.35845,FALSE,2016-07,74.66,74.2011534,77.6092743,44.49093537,83.13,94.74,123.98,169.7,35.39,84.71187878,30.19874452,82.58,29.92,63.94,85.28,40.86,76.06,84.93,38.49,33.31847366,13.84,161.66,171.58944,107.83,46.34,44.75,41.21,82.76,233.88,34.96983861,23.22001161,297.64,35.71361895,46.445,49.19,84.56,49.02585648,185.65,52.44,112.3,147.3,35.68034136,81.23,105,116.22,125.26,102.28,138.24,19.37543021,153.1392042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 20,060.99 "," 17,539.05 "," 38,381.85 "," 7,303.52 "," 34,846.99 "," 22,122.17 "," 29,998.00 "," 6,277.25 "," 36,572.03 "," 16,520.81 "," 34,646.40 "," 7,785.59 "," 25,445.21 "," 18,647.31 "," 9,708.94 "," 3,900.13 "," 36,258.62 "," 29,772.78 ", 182.49 ," 17,166.82 "," 34,340.33 "," 30,830.53 "," 27,324.18 "," 20,486.26 "," 16,636.22 "," 5,888.40 "," 25,064.39 "," 33,647.64 "," 12,404.98 "," 11,488.90 "," 26,128.04 "," 12,273.40 "," 16,715.38 "," 12,961.91 "," 8,807.97 "," 2,302.18 "," 12,984.09 "," 24,006.30 "," 34,099.75 "," 22,686.79 "," 13,688.78 "," 40,579.30 "," 31,117.52 "," 13,205.35 "," 34,785.03 "," 16,786.88 "," 26,678.06 "," 38,297.37 "," 12,867.14 "," 5,358.01 ", FALSE ," 1,037,578.04 ",268.70,236.37,494.55,164.16,419.19,233.50,241.96,36.99,1033.40,195.02,1147.28,94.28,850.44,291.64,113.85,95.45,476.71,350.56,4.74,515.23,2481.24,190.71,159.24,189.99,359.00,131.58,608.21,406.57,53.04,328.54,1125.24,41.24,468.04,279.08,179.06,27.23,264.84,129.31,650.26,202.02,92.93,1137.30,383.08,125.77,299.30,134.02,260.83,277.04,664.10,34.99
31/08/16,2170.95,2054.3788,FALSE,2016-08,75.95,76.59505942,77.1401093,44.96626588,79.39,73.41,113.87,159,42.33,91.91031386,29.39578279,73.99,32.38,61.94,83.05,38.72,78.45,80.54,38.42,34.22405626,12.11,168.54,172.7691174,108.31,46.34,42.02,38.41,81.95,227.1,32.9886252,23.71001186,297.64,35.80465545,48.24,49.41,84.56,50.46344089,175.01,49.42,110.09,149.57,36.20674287,81.74,107.14,118.71,126.93,100.87,134.12,18.66342665,148.4411769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 20,407.61 "," 18,104.91 "," 38,149.82 "," 7,381.55 "," 33,279.23 "," 17,141.53 "," 27,551.81 "," 5,881.45 "," 43,743.83 "," 17,924.67 "," 33,725.18 "," 6,975.73 "," 27,537.30 "," 18,064.04 "," 9,455.06 "," 3,695.87 "," 37,397.96 "," 28,233.84 ", 182.16 ," 17,633.41 "," 30,047.79 "," 32,142.63 "," 27,512.04 "," 20,577.45 "," 16,636.22 "," 5,529.18 "," 23,361.39 "," 33,318.32 "," 12,045.37 "," 10,838.00 "," 26,679.41 "," 12,273.40 "," 16,757.99 "," 13,462.86 "," 8,847.37 "," 2,302.18 "," 13,364.82 "," 22,630.44 "," 32,135.96 "," 22,240.33 "," 13,899.74 "," 41,177.98 "," 31,312.89 "," 13,474.48 "," 35,530.30 "," 17,010.69 "," 26,310.29 "," 37,155.99 "," 12,394.30 "," 5,193.64 ", FALSE ," 1,028,630.36 ",268.70,236.37,494.55,164.16,419.19,233.50,241.96,36.99,1033.40,195.02,1147.28,94.28,850.44,291.64,113.85,95.45,476.71,350.56,4.74,515.23,2481.24,190.71,159.24,189.99,359.00,131.58,608.21,406.57,53.04,328.54,1125.24,41.24,468.04,279.08,179.06,27.23,264.84,129.31,650.26,202.02,92.93,1137.30,383.08,125.77,299.30,134.02,260.83,277.04,664.10,34.99
30/09/16,2168.27,2063.76425,FALSE,2016-09,76.76,74.91634524,72.6924251,40.25098726,81.14,69.99,113.73,153.93,40.94,93.15508347,29.47884779,74.84,34.53,61.17,81.28,37.39,80.55,77.49,38.83,35.15750294,11.21,165.59,175.2259662,107.74,46.72,42.29,37.53,88.77,222.7,32.10703263,22.87001144,297.64,34.54835175,49.395,50.87,84.56,48.47619186,177.84,49.18,108.77,151.85,35.56538012,79.33,107.93,114.55,125.65,94.52,128.68,18.67409337,139.6678629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 20,625.26 "," 17,708.11 "," 35,950.21 "," 6,607.50 "," 34,012.81 "," 16,342.94 "," 27,517.93 "," 5,693.91 "," 42,307.40 "," 18,167.43 "," 33,820.47 "," 7,055.87 "," 29,365.75 "," 17,839.48 "," 9,253.55 "," 3,568.92 "," 38,399.05 "," 27,164.64 ", 184.10 ," 18,114.36 "," 27,814.67 "," 31,580.03 "," 27,903.27 "," 20,469.16 "," 16,772.65 "," 5,564.70 "," 22,826.17 "," 36,091.12 "," 11,811.99 "," 10,548.36 "," 25,734.21 "," 12,273.40 "," 16,169.99 "," 13,785.20 "," 9,108.79 "," 2,302.18 "," 12,838.52 "," 22,996.39 "," 31,979.89 "," 21,973.66 "," 14,111.62 "," 40,448.55 "," 30,389.67 "," 13,573.84 "," 34,285.19 "," 16,839.15 "," 24,653.99 "," 35,648.92 "," 12,401.38 "," 4,886.68 ", FALSE ," 1,017,483.02 ",268.70,236.37,494.55,164.16,419.19,233.50,241.96,36.99,1033.40,195.02,1147.28,94.28,850.44,291.64,113.85,95.45,476.71,350.56,4.74,515.23,2481.24,190.71,159.24,189.99,359.00,131.58,608.21,406.57,53.04,328.54,1125.24,41.24,468.04,279.08,179.06,27.23,264.84,129.31,650.26,202.02,92.93,1137.30,383.08,125.77,299.30,134.02,260.83,277.04,664.10,34.99
31/10/16,2126.15,2078.84335,FALSE,2016-10,72.52,70.30733116,70.4967329,39.6330576,81.61,69.09,113.2,145.23,37.12,88.08916065,27.62372932,74.04,35.79,62.12,81.55,36.875,81.15,72.07,36.01,38.5917508,10.63,150.76,163.7021754,104.52,49.73,39.24,33.73,83.46,214.09,30.05946279,24.89334578,297.64,31.18000125,45.17,48.23,84.56,47.7785406,171.18,49.95,107.81,169.24,33.22985158,83.41,107.68,108.18,127,92.58,122.01,17.62942148,135.4185751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 19,485.98 "," 16,618.67 "," 34,864.32 "," 6,506.06 "," 34,209.82 "," 16,132.79 "," 27,389.69 "," 5,372.10 "," 38,359.82 "," 17,179.46 "," 31,692.14 "," 6,980.44 "," 30,437.30 "," 18,116.53 "," 9,284.29 "," 3,519.76 "," 38,685.08 "," 25,264.62 ", 170.73 ," 19,883.80 "," 26,375.56 "," 28,751.77 "," 26,068.20 "," 19,857.40 "," 17,853.25 "," 5,163.37 "," 20,514.97 "," 33,932.24 "," 11,355.32 "," 9,875.66 "," 28,010.94 "," 12,273.40 "," 14,593.47 "," 12,606.08 "," 8,636.07 "," 2,302.18 "," 12,653.75 "," 22,135.19 "," 32,480.60 "," 21,779.72 "," 15,727.70 "," 37,792.35 "," 31,952.63 "," 13,542.40 "," 32,378.63 "," 17,020.07 "," 24,147.98 "," 33,801.09 "," 11,707.62 "," 4,738.01 ", FALSE ," 990,180.99 ",268.70,236.37,494.55,164.16,419.19,233.50,241.96,36.99,1033.40,195.02,1147.28,94.28,850.44,291.64,113.85,95.45,476.71,350.56,4.74,515.23,2481.24,190.71,159.24,189.99,359.00,131.58,608.21,406.57,53.04,328.54,1125.24,41.24,468.04,279.08,179.06,27.23,264.84,129.31,650.26,202.02,92.93,1137.30,383.08,125.77,299.30,134.02,260.83,277.04,664.10,34.99
30/11/16,2198.81,2107.97675,FALSE,2016-11,68.55,76.22753028,67.55976,40.44111946,95.37,77.32,125.65,140.42,33.65,104.0685286,28.45437938,72.47,35.34,58.8,83.08,39.17,83.08,66.84,38.28,44.81240666,11.34,165.77,164.862354,112.28,54.21,38.07,33,95.56,215.92,30.46708086,29.10001455,297.64,29.53,48.63,50.35,84.56,53.00035455,164.49,49.12,109.59,168.04,37.60442964,85.39,124.87,113.35,128,100.61,129.4,18.3000915,137.4699554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 18,419.25 "," 18,018.03 "," 33,411.84 "," 6,638.71 "," 39,977.83 "," 18,054.53 "," 30,402.08 "," 5,194.17 "," 34,773.92 "," 20,295.81 "," 32,645.12 "," 6,832.42 "," 30,054.61 "," 17,148.30 "," 9,458.48 "," 3,738.82 "," 39,605.13 "," 23,431.21 ", 181.49 ," 23,088.89 "," 28,137.24 "," 31,614.36 "," 26,252.95 "," 21,331.70 "," 19,461.58 "," 5,009.42 "," 20,070.97 "," 38,851.72 "," 11,452.38 "," 10,009.57 "," 32,744.44 "," 12,273.40 "," 13,821.20 "," 13,571.70 "," 9,015.68 "," 2,302.18 "," 14,036.70 "," 21,270.11 "," 31,940.88 "," 22,139.32 "," 15,616.18 "," 42,767.57 "," 32,711.13 "," 15,704.30 "," 33,926.03 "," 17,154.09 "," 26,242.47 "," 35,848.38 "," 12,153.01 "," 4,809.78 ", FALSE ," 1,033,611.07 ",268.70,236.37,494.55,164.16,419.19,233.50,241.96,36.99,1033.40,195.02,1147.28,94.28,850.44,291.64,113.85,95.45,476.71,350.56,4.74,515.23,2481.24,190.71,159.24,189.99,359.00,131.58,608.21,406.57,53.04,328.54,1125.24,41.24,468.04,279.08,179.06,27.23,264.84,129.31,650.26,202.02,92.93,1137.30,383.08,125.77,299.30,134.02,260.83,277.04,664.10,34.99
30/12/16,2238.83,2136.33395,FALSE,2016-12,69.41,75.2441415,69.1643043,40.81187726,97.07,74.07,125.15,142.11,37.68,97.51660177,27.77140044,72.36,34.95,60.77,81.17,37.565,86.41,68.95,40.12,45.25823194,12.26,146.92,161.401317,116.7,57.51,38.41,32.48,92.74,232.5,30.78938352,28.59668097,297.64,29.72,47.35,51.96,84.56,57.5033763,177.15,52.46,111.13,159.24,39.01177544,77.79,123,122.42,132.12,104.34,134.08,18.56075947,146.6279032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 18,650.33 "," 17,785.59 "," 34,205.37 "," 6,699.58 "," 40,690.45 "," 17,295.64 "," 30,281.10 "," 5,256.69 "," 38,938.52 "," 19,018.03 "," 31,861.56 "," 6,822.05 "," 29,722.93 "," 17,722.82 "," 9,241.03 "," 3,585.62 "," 41,192.58 "," 24,170.89 ", 190.22 ," 23,318.60 "," 30,419.97 "," 28,019.43 "," 25,701.81 "," 22,171.44 "," 20,646.29 "," 5,054.16 "," 19,754.70 "," 37,705.20 "," 12,331.78 "," 10,115.46 "," 32,178.07 "," 12,273.40 "," 13,910.13 "," 13,214.48 "," 9,303.97 "," 2,302.18 "," 15,229.29 "," 22,907.17 "," 34,112.75 "," 22,450.43 "," 14,798.38 "," 44,368.14 "," 29,799.73 "," 15,469.12 "," 36,640.71 "," 17,706.23 "," 27,215.38 "," 37,144.91 "," 12,326.12 "," 5,130.20 ", FALSE ," 1,047,050.61 ",268.70,236.37,494.55,164.16,419.19,233.50,241.96,36.99,1033.40,195.02,1147.28,94.28,850.44,291.64,113.85,95.45,476.71,350.56,4.74,515.23,2481.24,190.71,159.24,189.99,359.00,131.58,608.21,406.57,53.04,328.54,1125.24,41.24,468.04,279.08,179.06,27.23,264.84,129.31,650.26,202.02,92.93,1137.30,383.08,125.77,299.30,134.02,260.83,277.04,664.10,34.99
31/01/17,2278.87,2158.1992,FALSE,2017-01,77.28,70.10866676,68.2259743,42.4470142,99.08,73.82,128.33,140.43,41.6,101.4824956,28.91585164,73.44,35.73,61.89,82.64,37.46,81.62,69.73,40.53,43.94165416,16.54,187.25,172.8471126,122.08,62.27,41.77,35.8,95.66,224.3,30.07842177,29.42668138,297.64,30.32,48.75,53.83,84.56,57.58,173.31,52.65,110.82,174.54,41.09362449,82.51,122.87,117.78,131.49,105.56,137.58,17.48475409,150.1445552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 20,764.98 "," 16,571.71 "," 33,741.32 "," 6,968.00 "," 41,533.01 "," 17,237.26 "," 31,050.52 "," 5,194.54 "," 42,989.45 "," 19,791.47 "," 33,174.56 "," 6,923.87 "," 30,386.28 "," 18,049.46 "," 9,408.39 "," 3,575.60 "," 38,909.13 "," 24,444.32 ", 192.16 ," 22,640.25 "," 41,039.67 "," 35,710.85 "," 27,524.46 "," 23,193.56 "," 22,355.15 "," 5,496.28 "," 21,773.96 "," 38,892.38 "," 11,896.85 "," 9,881.88 "," 33,112.02 "," 12,273.40 "," 14,190.95 "," 13,605.19 "," 9,638.81 "," 2,302.18 "," 15,249.58 "," 22,410.62 "," 34,236.30 "," 22,387.80 "," 16,220.23 "," 46,735.83 "," 31,607.86 "," 15,452.77 "," 35,251.94 "," 17,621.80 "," 27,533.60 "," 38,114.53 "," 11,611.55 "," 5,253.24 ", FALSE ," 1,086,121.56 ",268.70,236.37,494.55,164.16,419.19,233.50,241.96,36.99,1033.40,195.02,1147.28,94.28,850.44,291.64,113.85,95.45,476.71,350.56,4.74,515.23,2481.24,190.71,159.24,189.99,359.00,131.58,608.21,406.57,53.04,328.54,1125.24,41.24,468.04,279.08,179.06,27.23,264.84,129.31,650.26,202.02,92.93,1137.30,383.08,125.77,299.30,134.02,260.83,277.04,664.10,34.99
28/02/17,2363.64,2182.18225,FALSE,2017-02,79.69,72.47277312,69.5021031,46.38275079,98.17,73.02,120.61,140.73,43.56,97.32361424,31.12168903,78,36.85,66.75,82.92,39.225,78.19,70.35,40.58,41.99116856,16.56,195.23,178.462767,118.62,62.53,45.08,36.35,96.66,234.7,32.34401988,30.58668196,297.64,32.79,50.36,56.95,84.56,57.2,183.78,54.69,119.31,189.81,40.78836803,96.87,131.41,122.24,138.17,114.71,144.91,18.11409057,162.2605202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 21,412.54 "," 17,130.51 "," 34,372.43 "," 7,614.08 "," 41,151.55 "," 17,050.46 "," 29,182.60 "," 5,205.64 "," 45,014.91 "," 18,980.39 "," 35,705.27 "," 7,353.79 "," 31,338.77 "," 19,466.82 "," 9,440.26 "," 3,744.07 "," 37,274.01 "," 24,661.67 ", 192.40 ," 21,635.30 "," 41,089.30 "," 37,232.74 "," 28,418.70 "," 22,536.21 "," 22,448.49 "," 5,931.83 "," 22,108.48 "," 39,298.95 "," 12,448.47 "," 10,626.22 "," 34,417.30 "," 12,273.40 "," 15,347.01 "," 14,054.51 "," 10,197.48 "," 2,302.18 "," 15,148.94 "," 23,764.49 "," 35,562.84 "," 24,102.95 "," 17,639.29 "," 46,388.67 "," 37,108.88 "," 16,526.81 "," 36,586.84 "," 18,517.03 "," 29,920.23 "," 40,145.20 "," 12,029.49 "," 5,677.15 ", FALSE ," 1,117,777.52 ",268.70,236.37,494.55,164.16,419.19,233.50,241.96,36.99,1033.40,195.02,1147.28,94.28,850.44,291.64,113.85,95.45,476.71,350.56,4.74,515.23,2481.24,190.71,159.24,189.99,359.00,131.58,608.21,406.57,53.04,328.54,1125.24,41.24,468.04,279.08,179.06,27.23,264.84,129.31,650.26,202.02,92.93,1137.30,383.08,125.77,299.30,134.02,260.83,277.04,664.10,34.99
31/03/17,2362.72,2214.9516,FALSE,2017-03,80.68,71.78738094,68.1321413,48.66433722,91.74,69.73,120.48,133.5,43.09,100.0785113,31.3616546,77.77,37.9,66.36,81.14,39.54,79.22,66.39,42.55,41.67073164,18.7,187.49,178.8429936,120.05,64.59,44.41,35.67,92.76,231.53,32.42933529,28.5233476,297.64,31.28,51.16,56.54,84.56,58.46,183.6,54.59,110.52,184.3,41.02646807,99.82,126.46,120.54,136.25,119.33,146.83,17.98942328,153.5696277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 21,678.55 "," 16,968.51 "," 33,694.91 "," 7,988.62 "," 38,456.18 "," 16,282.23 "," 29,151.15 "," 4,938.20 "," 44,529.21 "," 19,517.66 "," 35,980.58 "," 7,332.10 "," 32,231.74 "," 19,353.08 "," 9,237.61 "," 3,774.14 "," 37,765.03 "," 23,273.46 ", 201.74 ," 21,470.20 "," 46,399.14 "," 35,756.62 "," 28,479.25 "," 22,807.89 "," 23,188.04 "," 5,843.66 "," 21,694.90 "," 37,713.33 "," 12,280.33 "," 10,654.25 "," 32,095.56 "," 12,273.40 "," 14,640.27 "," 14,277.77 "," 10,124.07 "," 2,302.18 "," 15,482.64 "," 23,741.21 "," 35,497.81 "," 22,327.19 "," 17,127.24 "," 46,659.46 "," 38,238.96 "," 15,904.27 "," 36,078.02 "," 18,259.72 "," 31,125.28 "," 40,677.11 "," 11,946.70 "," 5,373.07 ", FALSE ," 1,112,794.25 ",268.70,236.37,494.55,164.16,419.19,233.50,241.96,36.99,1033.40,195.02,1147.28,94.28,850.44,291.64,113.85,95.45,476.71,350.56,4.74,515.23,2481.24,190.71,159.24,189.99,359.00,131.58,608.21,406.57,53.04,328.54,1125.24,41.24,468.04,279.08,179.06,27.23,264.84,129.31,650.26,202.02,92.93,1137.30,383.08,125.77,299.30,134.02,260.83,277.04,664.10,34.99
28/04/17,2384.2,2240.4632,FALSE,2017-04,81.76,71.60858298,66.62143,48.00838112,89.66,72.71,120.88,130.89,43.41,96.3393778,31.26013071,79.76,38.92,67.05,82.81,39.32,79.56,63.18,45.15,41.35726074,16.9,192.52,182.2845318,113.13,67.27,43.64,34.76,102.26,244.47,32.15443008,29.50668142,297.64,31.35,53.88,55.81,84.56,58.97,189.84,54.69,112.51,181.39,40.739527,99.11,134.83,121.66,137.25,119.62,156.1,16.54341605,162.5718905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 21,968.75 "," 16,926.24 "," 32,947.78 "," 7,880.94 "," 37,584.28 "," 16,978.08 "," 29,247.93 "," 4,841.66 "," 44,859.90 "," 18,788.44 "," 35,864.10 "," 7,519.72 "," 33,099.19 "," 19,554.31 "," 9,427.74 "," 3,753.14 "," 37,927.11 "," 22,148.17 ", 214.06 ," 21,308.68 "," 41,932.92 "," 36,715.91 "," 29,027.29 "," 21,493.18 "," 24,150.17 "," 5,742.34 "," 21,141.42 "," 41,575.74 "," 12,966.67 "," 10,563.93 "," 33,202.04 "," 12,273.40 "," 14,673.03 "," 15,036.87 "," 9,993.35 "," 2,302.18 "," 15,617.71 "," 24,548.10 "," 35,562.84 "," 22,729.21 "," 16,856.81 "," 46,333.12 "," 37,966.97 "," 16,956.92 "," 36,413.24 "," 18,393.74 "," 31,200.92 "," 43,245.23 "," 10,986.41 "," 5,688.04 ", FALSE ," 1,118,129.94 ",268.70,236.37,494.55,164.16,419.19,233.50,241.96,36.99,1033.40,195.02,1147.28,94.28,850.44,291.64,113.85,95.45,476.71,350.56,4.74,515.23,2481.24,190.71,159.24,189.99,359.00,131.58,608.21,406.57,53.04,328.54,1125.24,41.24,468.04,279.08,179.06,27.23,264.84,129.31,650.26,202.02,92.93,1137.30,383.08,125.77,299.30,134.02,260.83,277.04,664.10,34.99
31/05/17,2411.8,2265.13115,FALSE,2017-05,91.61,69.61200576,67.184428,48.77841654,85.38,73.39,124.65,122.74,41.97,89.50761904,30.4202512,78.18,41.14,68.38,80.89,37.605,76.11,60.86,43.31,38.4176003,16.06,190.58,184.4878962,115.91,67.42,45.66,34.92,105.43,256.92,30.95053485,29.77334822,297.64,31.34,54.87,56.73,84.56,66.47,191.24,56.75,116.68,211.72,38.4378933,105.26,131.51,124.85,143.19,119.13,153.51,16.13874736,171.915066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 24,615.42 "," 16,454.31 "," 33,226.22 "," 8,007.34 "," 35,790.16 "," 17,136.86 "," 30,160.12 "," 4,540.18 "," 43,371.81 "," 17,456.09 "," 34,900.53 "," 7,370.76 "," 34,987.17 "," 19,942.19 "," 9,209.15 "," 3,589.44 "," 36,282.46 "," 21,334.88 ", 205.34 ," 19,794.07 "," 39,848.68 "," 36,345.92 "," 29,378.15 "," 22,021.35 "," 24,204.02 "," 6,008.14 "," 21,238.74 "," 42,864.56 "," 13,627.02 "," 10,168.41 "," 33,502.10 "," 12,273.40 "," 14,668.35 "," 15,313.16 "," 10,158.09 "," 2,302.18 "," 17,604.03 "," 24,729.14 "," 36,902.38 "," 23,571.63 "," 19,675.42 "," 43,715.47 "," 40,322.91 "," 16,539.38 "," 37,368.02 "," 19,189.79 "," 31,073.11 "," 42,527.70 "," 10,717.67 "," 6,014.94 ", FALSE ," 1,122,248.34 ",268.70,236.37,494.55,164.16,419.19,233.50,241.96,36.99,1033.40,195.02,1147.28,94.28,850.44,291.64,113.85,95.45,476.71,350.56,4.74,515.23,2481.24,190.71,159.24,189.99,359.00,131.58,608.21,406.57,53.04,328.54,1125.24,41.24,468.04,279.08,179.06,27.23,264.84,129.31,650.26,202.02,92.93,1137.30,383.08,125.77,299.30,134.02,260.83,277.04,664.10,34.99
